id,title,category,hashtags,thumbnail_concept,trend_score,estimated_views,difficulty,target_audience,key_topics,created_at
1,Breaking: Machine Learning Changes Everything,news,#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning;#Programming,Tech headlines with shocked expression,100,590227,Easy,General tech audience,Machine Learning,2025-07-18T18:07:58.015703
3,Build Your First Tensorflow Project,tutorial,#TensorFlow;#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Split-screen showing before/after code results,100,436909,Medium,Beginners,Tensorflow,2025-07-18T18:07:58.015805
4,What's Next for Coding?,prediction,#Coding;#AI;#Tech;#OpenAI;#Tutorial;#TechNews;#MachineLearning;#Programming,Timeline with future milestones,100,651640,Medium,General tech audience,Coding,2025-07-18T18:07:58.015855
5,Artificial Intelligence Explained in Tensorflow Minutes,explanation,#AI;#TensorFlow;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Teacher-style whiteboard explanation with AI/robot elements,100,243289,Hard,General tech audience,Ai;Artificial Intelligence;Tensorflow,2025-07-18T18:07:58.015895
7,How AI Will Change Future,prediction,#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning;#Programming,Futuristic crystal ball or fortune teller with AI/robot elements,100,421844,Medium,General tech audience,Ai,2025-07-18T18:07:58.015959
8,Computer Vision or Data Science? The Ultimate Guide,comparison,#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning;#Programming,Two products side by side with checkmarks,100,210798,Hard,General tech audience,Data Science;Computer Vision,2025-07-18T18:07:58.015996
9,Build Your First Automation Project,tutorial,#Automation;#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Person pointing at code on a large screen,100,183935,Medium,Beginners,Automation,2025-07-18T18:07:58.016027
2,How to Build Future in Pytorch Minutes,tutorial,#PyTorch;#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Hand typing on keyboard with code overlay,95,351818,Medium,Learners/Students,Pytorch,2025-07-18T18:07:58.015767
10,What is Programming? Everything You Need to Know,explanation,#Programming;#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Lightbulb moment with clear graphics,80,303462,Hard,General tech audience,Programming,2025-07-18T18:07:58.016058
6,Pytorch News This Week,news,#PyTorch;#AI;#Tech;#OpenAI;#Coding;#Tutorial;#TechNews;#MachineLearning,Tech headlines with shocked expression,55,247325,Easy,AI enthusiasts,Pytorch,2025-07-18T18:07:58.015926
